transcript	SRR1976948	SRR1977249
k99_2800	23.5024	10.51
k99_2806	12.5336	7.62874
k99_2807	21.02	146.091
k99_2808	9.44927	2.3257
k99_2809	8.32786	0.0
k99_2810	8.15847	0.0
k99_2814	32.3501	14.37
k99_2816	28.6711	25.7273
k99_2823	209.286	193.712
k99_2827	24.6633	3.6492
k99_2832	168.69	145.959
k99_2837	127.522	1803.28
k99_2838	17.5309	9.73813
k99_2839	427.382	200.635
k99_2842	18.4873	9.09892
k99_2845	4.49305	4.73237
k99_2848	30.8983	9.66399
k99_2855	19.1408	3.98802
k99_2858	145.647	8.42184
k99_2861	146.511	132.341
k99_2862	133.699	2255.5
k99_2867	20.1206	21.5971
k99_2869	22.6606	8.28464
k99_2870	8.32387	0.0
k99_2877	124.82	122.57
k99_2879	101.056	36.2543
k99_2882	14.7532	2.07061
k99_2887	84.6294	58.2648
k99_2891	36.3103	14.7133
k99_2893	22.088	6.98381
k99_2894	46.285	22.168
k99_2900	8.90801	2.18324
k99_2901	217.021	190.48
k99_2906	15.8223	10.9901
k99_2908	7.06401	10.9712
k99_2909	187.756	178.789
k99_2910	167.5	2135.76
k99_2914	26.1379	4.89105
k99_2915	141.994	135.431
k99_2916	12.0628	7.33869
k99_2918	11.8144	18.2069
k99_2919	22.5695	13.8526
k99_2920	16.3461	5.47578
k99_2925	228.868	180.907
k99_2931	158.774	145.409
k99_2932	11.6058	0.0
k99_2934	4.36775	4.40206
k99_2940	34.8044	11.4065
k99_2943	32.4174	21.4378
k99_2949	238.931	184.304
k99_2950	24.0272	39.0887
k99_2951	34.709	27.4995
k99_2952	37.1596	14.9154
k99_2953	1691.13	62.0528
k99_2955	0.213683	37.3563
k99_2956	34.9916	18.759
k99_2957	148.526	147.252
k99_2958	64.5149	25.1166
k99_2961	9.36281	1.10318
k99_2962	0.0	15.3252
k99_2965	8.57422	4.50149
k99_2969	25.4895	8.64815
k99_2971	39.2142	16.0703
k99_2974	148.181	150.169
k99_2975	39.235	14.4592
k99_2976	33.1764	36.1364
k99_2977	13.7236	8.33213
k99_2979	20.4654	2.71259
k99_2981	38.5066	14.9915
k99_2983	147.031	140.747
k99_2985	20.4799	10.2341
k99_2988	6700.31	2649.26
k99_2996	11.4843	1.60644
k99_3014	10.5497	2.12342
k99_3016	4.8294	14.3299
k99_3017	14.8661	0.731521
k99_3018	17.7898	9.30029
k99_3023	343.821	367.303
k99_3031	13.6211	8.07757
